Mark_info;Model_info;Year;Price_segment;Transmission;Gear_type;Fuel_rate;Vendor_country;Region;Mileage;Horse_power;Owners_number;Body_type;PTS;Color_hex;Salon;Count_doors;Auto_class;Trunk_volume_min;Price_rub
Land Rover;Range Rover;2019;PREMIUM;AUTOMATIC;ALL_WHEEL_DRIVE;12.7;EUROPEAN;Москва;4700;525;1;ALLROAD_5_DOORS;True;97948F;False;5;J;900;9900000
Mitsubishi;Montero;2004;MEDIUM;AUTOMATIC;ALL_WHEEL_DRIVE;NaN;JAPANESE;Москва;168000;215;3;ALLROAD_5_DOORS;True;97948F;False;5;J;1700;440000
BMW;5 серия;1999;PREMIUM;AUTOMATIC;REAR_DRIVE;10.7;EUROPEAN;Тучково;240000;193;3;SEDAN;False;CACECB;False;4;E;460;240000
BMW;X5;2008;PREMIUM;AUTOMATIC;ALL_WHEEL_DRIVE;12.5;EUROPEAN;Москва;147000;355;1;ALLROAD_5_DOORS;True;DEA522;False;5;J;620;715000
Porsche;Panamera;2010;PREMIUM;ROBOT;REAR_DRIVE;9.3;EUROPEAN;Москва;98000;300;3;HATCHBACK_5_DOORS;True;200204;False;5;F;445;1650000
Land Rover;Range Rover;2020;PREMIUM;AUTOMATIC;ALL_WHEEL_DRIVE;12.7;EUROPEAN;Санкт-Петербург;0;525;NaN;ALLROAD_5_DOORS;True;040001;True;5;J;900;10673000
Land Rover;Discovery;1998;MEDIUM;MECHANICAL;ALL_WHEEL_DRIVE;14.9;EUROPEAN;Рождествено;206350;182;3;ALLROAD_5_DOORS;True;040001;False;5;J;1290;225000
Citroen;C4;2012;MEDIUM;MECHANICAL;FORWARD_CONTROL;6.2;EUROPEAN;Сясьстрой;150000;120;3;HATCHBACK_5_DOORS;True;040001;False;5;C;408;390000
Land Rover;Range Rover Evoque;2020;PREMIUM;AUTOMATIC;ALL_WHEEL_DRIVE;5.6;EUROPEAN;Санкт-Петербург;0;150;NaN;ALLROAD_5_DOORS;True;FAFBFB;True;5;J;591;3668000
Chery;Tiggo (T11);2014;ECONOMY;VARIATOR;FORWARD_CONTROL;7.6;CHINESE;Москва;34800;126;3;ALLROAD_5_DOORS;True;FAFBFB;False;5;J;520;458000
Mercedes-Benz;W124;1988;PREMIUM;MECHANICAL;REAR_DRIVE;6.7;EUROPEAN;Москва;400000;72;3;SEDAN;True;FAFBFB;False;4;E;520;105000
Mercedes-Benz;E-Класс;2017;PREMIUM;AUTOMATIC;ALL_WHEEL_DRIVE;7.3;EUROPEAN;Екатеринбург;530;184;1;SEDAN;True;FAFBFB;False;4;E;540;2900000
Audi;100;1992;MEDIUM;MECHANICAL;FORWARD_CONTROL;8.9;EUROPEAN;Поварово;354698;133;3;SEDAN;True;007F00;False;4;E;510;150000
Mercedes-Benz;190 (W201);1988;PREMIUM;MECHANICAL;REAR_DRIVE;8.9;EUROPEAN;Москва;438247;118;3;SEDAN;True;97948F;False;4;D;411;135000
Lifan;Solano;2016;ECONOMY;MECHANICAL;FORWARD_CONTROL;6.5;CHINESE;Челябинск;70000;100;2;SEDAN;True;FAFBFB;True;4;C;NaN;385000
BMW;X6;2017;PREMIUM;AUTOMATIC;ALL_WHEEL_DRIVE;6.3;EUROPEAN;Москва;28000;313;2;ALLROAD_5_DOORS;True;040001;False;5;J;580;3790000
BMW;X5;2017;PREMIUM;AUTOMATIC;ALL_WHEEL_DRIVE;6.2;EUROPEAN;Москва;68233;249;1;ALLROAD_5_DOORS;True;FAFBFB;False;5;J;650;3135000
Land Rover;Range Rover Evoque;2020;PREMIUM;AUTOMATIC;ALL_WHEEL_DRIVE;5.6;EUROPEAN;Санкт-Петербург;0;150;NaN;ALLROAD_5_DOORS;True;97948F;True;5;J;591;3690000
BMW;5 серия;2019;PREMIUM;AUTOMATIC;ALL_WHEEL_DRIVE;5.6;EUROPEAN;Нижний Новгород;33000;249;1;SEDAN;True;FAFBFB;False;4;E;530;3250000
Mercedes-Benz;E-Класс;1995;PREMIUM;AUTOMATIC;REAR_DRIVE;NaN;EUROPEAN;Москва;330000;150;3;COUPE_HARDTOP;False;CACECB;False;2;E;480;255000
Subaru;Forester;1999;MEDIUM;AUTOMATIC;ALL_WHEEL_DRIVE;9.2;JAPANESE;Москва;250000;125;3;WAGON_5_DOORS;True;040001;False;5;J;406;200000
Mercedes-Benz;CLK-Класс AMG;2007;PREMIUM;AUTOMATIC;REAR_DRIVE;14.2;EUROPEAN;Москва;31500;481;3;COUPE;True;040001;False;2;D;435;9800000
